n,std_average,std_worst
480,0.000502125,0.0081245
481,0.000509875,0.008170083
482,0.000481875,0.008194959
483,0.000487708,0.008270125
484,0.000487334,0.008254834
485,0.000496042,0.008295583
486,0.000495208,0.008329166
487,0.00050025,0.008364375
488,0.000515792,0.00837725
489,0.000522083,0.008414125
490,0.000496125,0.008497334
491,0.000493167,0.008502541
492,0.000535,0.008520959
493,0.000493041,0.00858
494,0.00053475,0.008588875
495,0.000536292,0.008612083
496,0.000489625,0.008651
497,0.00051,0.008686833
498,0.000497208,0.008739458
499,0.000543625,0.008756541
